station_name,stats,p_value,crit1,stationary
Isestraße / Hoheluftbrücke,-10.340780133445861,2.688809022384147e-18,-3.4305718333664075,True
Jacobikirche / Steinstraße,-15.2318783058164,5.307459774442984e-28,-3.4305718333664075,True
Jarrestraße / Rambatzweg,-10.830906146194218,1.709150824982967e-19,-3.430571825841386,True
Jungfernstieg / Ballindamm,-10.33364446793042,2.800250251354447e-18,-3.4305718333664075,True
Jungfernstieg / Neuer Jungfernstieg,-10.041708098234068,1.4903219701871757e-17,-3.430571810792874,True
Kanalplatz/Harburger Schlossstraße,-10.36686106672414,2.3181673473766503e-18,-3.4305718183168747,True
Kellinghusenstraße / Loogeplatz,-12.619096053528908,1.5927316354144722e-23,-3.430571825841386,True
Kleine Rosenstraße / Gerhart-Hauptmann-Platz,-15.668927932214048,1.5212467666451236e-28,-3.4305718333664075,True
Koppelstraße/Lokstedter Grenzstraße,-11.585657873573417,2.8718054718519943e-21,-3.4305718333664075,True
Krausestraße/Eilbektal,-9.835892020116916,4.896781360898709e-17,-3.4305718183168747,True
Kurt-Schumacher-Allee / Nagelsweg,-16.332430652740495,3.0516117224655667e-29,-3.4305718333664075,True
Kurze Mühren/Spitalerstraße,-13.743678263801636,1.082528609426266e-25,-3.4305718333664075,True
Königstraße / Struenseestraße,-13.191857716048576,1.1398165068449242e-24,-3.430571825841386,True
Kümmellstraße / Robert-Koch-Straße,-11.09572556552581,3.978506390998915e-20,-3.430571825841386,True
Landungsbrücke/Hafentor,-11.229090989456433,1.9274352075477534e-20,-3.4305718333664075,True
Landwehr / Ramazan-Avci-Platz,-11.230486578228412,1.912940135263596e-20,-3.4305718183168747,True
Lange Reihe / Kirchenallee,-11.516655133111005,4.134449248899251e-21,-3.4305718183168747,True
Lange Reihe / Lohmühlenpark,-10.389447534030117,2.039020823807807e-18,-3.430571825841386,True
Langenfelder Damm/Müggenkampstraße,-5.352906252221705,4.250466470367301e-06,-3.4305718333664075,True
Langenhorn Markt/Tangstedter Landstraße,-11.573733133492222,3.0580406475532817e-21,-3.430571825841386,True
Lappenbergsallee / Bei der Apostelkirche,-5.256322851102631,6.7394962802672165e-06,-3.4305718333664075,True
Leinpfad/Fernsicht,-13.319309636423174,6.506772116096661e-25,-3.4305718333664075,True
Lerchenfeld / Uferstraße,-14.18928195719757,1.8690396611616223e-26,-3.4305718183168747,True
Lohbrügger Markt/Ludwig-Rosenberg-Ring,-7.519394247511893,3.826379330143186e-11,-3.430571825841386,True
Lohmühlenstraße / Steindamm,-16.012177182173733,6.337953179153745e-29,-3.4305718333664075,True
Lortzingstraße/Friedrichsberger Straße,-10.789416134988636,2.1522065945821487e-19,-3.4305718333664075,True
Löwenstraße/Eppendorfer Weg,-11.463153113941114,5.49185013988305e-21,-3.4305718183168747,True
Lübecker Straße / Marienkrankenhaus,-13.609303889269489,1.8866508066001758e-25,-3.4305718183168747,True
Mannesallee/Veringstraße,-9.158674786194203,2.56816199885321e-15,-3.4305718183168747,True
Manshardtstraße/EKZ Manshardtstraße,-7.178912622738617,2.681662832748148e-10,-3.4305718333664075,True
Maretstraße/Baererstraße,-8.582484123584878,7.661808247066252e-14,-3.4305718333664075,True
Martinistraße / Haupteingang Klinikum,-21.123236424206322,0.0,-3.4305718333664075,True
Messehallen / Marktstraße,-11.885265078292978,6.04441878989557e-22,-3.4305718183168747,True
Methfesselstraße/Luruper Weg,-10.90507262607333,1.1335552205675091e-19,-3.4305718333664075,True
Meßberg / Willy-Brandt-Straße,-20.57793745369377,0.0,-3.4305718333664075,True
Michaeliskirche / Krayenkamp,-11.716899518935696,1.444012542707027e-21,-3.4305718333664075,True
Millerntorplatz/St.Pauli,-13.788750466989043,9.008695149494229e-26,-3.4305718333664075,True
Mittelweg/Sophienterrasse-NDR,-8.605495142165282,6.689958352441058e-14,-3.430571825841386,True
Moorstraße/Bahnhof Harburg,-6.765193666242132,2.7283922962107483e-09,-3.4305718183168747,True
Mundsburg / Schürbeker Straße,-11.003049806279275,6.608089408018728e-20,-3.4305718183168747,True
Mönckebergstraße / Rosenstraße,-12.075180073913197,2.298974471727598e-22,-3.4305718333664075,True
Mönckebergstraße / Steintorwall,-14.937505905667557,1.3377579264560872e-27,-3.4305718333664075,True
Neuer Pferdemarkt / Beim Grünen Jäger,-11.828858225785138,8.080699038109724e-22,-3.4305718333664075,True
Neuländer Kamp/Eurofins ,-14.983034731034156,1.1545807122277183e-27,-3.430571825841386,True
Neumühlen/Övelgönne,-15.852303479000769,9.417888808568042e-29,-3.4305718333664075,True
Neunenfelder Straße/ Kurt-Emmerich-Platz,-10.90834550015981,1.1132457198553586e-19,-3.4305718183168747,True
Niendorf Markt/Tibarg,-7.91142198644114,3.938657858355899e-12,-3.4305718333664075,True
Nordalbinger Weg/Paul-Sorge-Straße,-12.13024244611249,1.7426576035600728e-22,-3.4305718333664075,True
Nordschleswiger Straße/Dulsberg-Nord,-5.830350029051384,3.9886278085448545e-07,-3.4305718333664075,True
OTTO Group / Wandsbeker Straße,-17.81225257578494,3.185707826648467e-30,-3.430571825841386,True
Ohnhorststraße/Klein Flottbek,-10.343744214931284,2.6438415410355947e-18,-3.430571825841386,True
Osakaallee/Übersee Quartier,-12.135149915235909,1.700275869453092e-22,-3.4305718333664075,True
Osdorfer Landstraße/ Elbe-Einkaufszentrum,-8.821690038643819,1.8698405731815008e-14,-3.4305718183168747,True
Osterbrookplatz/ Süderstraße,-5.645594723547561,1.0131011592335028e-06,-3.4305718333664075,True
Osterstraße/Bismarckstraße,-12.28577997442598,8.032224749395126e-23,-3.4305718333664075,True
Osterstraße/Heußweg,-3.778602133249542,0.003133989214541845,-3.4305718333664075,True
Ottenser Marktplatz/Museumsstraße,-12.875964795899845,4.768839584910113e-24,-3.4305718183168747,True
Paul-Ehrlich-Straße/Asklepios Klinik Altona,-10.271449161418898,3.991680815080896e-18,-3.4305718333664075,True
Paulinenplatz/Wohlwillstraße,-14.423516803845711,7.84061910577448e-27,-3.4305718333664075,True
Planetarium/Hindenburgstraße,-15.271147152933422,4.715129976701114e-28,-3.4305718183168747,True
Rahlstedter Weg/Berner Heerweg,-10.018088782790567,1.7075918279511147e-17,-3.4305718333664075,True
Randstraße/ Stellingen,-11.51826151937909,4.099430224011481e-21,-3.430571825841386,True
Reeperbahn / Königstraße,-12.988724769752952,2.8420103102759486e-24,-3.4305718333664075,True
Reeseberg/EBV-Anzengruberstraße,-8.599659450033178,6.924099426481654e-14,-3.4305718333664075,True
Riedweg/Vierbergen,-8.707019150586525,3.6767607031349155e-14,-3.4305718333664075,True
