station_name,stats,p_value,crit1,stationary
Krausestraße/Eilbektal,-24.468936130018427,0.0,-3.4305718333664075,True
Kurt-Schumacher-Allee / Nagelsweg,-26.44105473327011,0.0,-3.430571825841386,True
Kurze Mühren/Spitalerstraße,-26.170891825417765,0.0,-3.430571825841386,True
Königstraße / Struenseestraße,-23.103545862401294,0.0,-3.4305718333664075,True
Kümmellstraße / Robert-Koch-Straße,-26.551153915818094,0.0,-3.4305718183168747,True
Landungsbrücke/Hafentor,-23.207947403262256,0.0,-3.4305718183168747,True
Landwehr / Ramazan-Avci-Platz,-28.320036764728723,0.0,-3.430571825841386,True
Lange Reihe / Kirchenallee,-27.27482262333648,0.0,-3.430571825841386,True
Lange Reihe / Lohmühlenpark,-29.10570868055264,0.0,-3.430571810792874,True
Langenfelder Damm/Müggenkampstraße,-28.865008674850102,0.0,-3.4305718333664075,True
Langenhorn Markt/Tangstedter Landstraße,-22.644168305755812,0.0,-3.430571825841386,True
Lappenbergsallee / Bei der Apostelkirche,-30.930368330171582,0.0,-3.430571825841386,True
Leinpfad/Fernsicht,-27.61397803988726,0.0,-3.4305718183168747,True
Lerchenfeld / Uferstraße,-26.46000601488546,0.0,-3.430571825841386,True
Lohbrügger Markt/Ludwig-Rosenberg-Ring,-24.832711283243505,0.0,-3.430571825841386,True
Lohmühlenstraße / Steindamm,-24.87576958182344,0.0,-3.430571825841386,True
Lortzingstraße/Friedrichsberger Straße,-26.119694334798385,0.0,-3.4305718333664075,True
Löwenstraße/Eppendorfer Weg,-29.044841435183802,0.0,-3.4305718333664075,True
Lübecker Straße / Marienkrankenhaus,-25.236482712285753,0.0,-3.430571825841386,True
Mannesallee/Veringstraße,-15.81396537319216,1.0387895821591365e-28,-3.430571825841386,True
Manshardtstraße/EKZ Manshardtstraße,-16.16227770402071,4.4528937698275316e-29,-3.4305718333664075,True
Maretstraße/Baererstraße,-24.662319387926527,0.0,-3.4305718183168747,True
Martinistraße / Haupteingang Klinikum,-29.75485781348679,0.0,-3.4305718333664075,True
Messehallen / Marktstraße,-33.262361033048556,0.0,-3.430571720544664,True
Methfesselstraße/Luruper Weg,-29.171197462803356,0.0,-3.430571825841386,True
Meßberg / Willy-Brandt-Straße,-28.39186119963635,0.0,-3.4305718333664075,True
Michaeliskirche / Krayenkamp,-26.98913157622955,0.0,-3.430571825841386,True
Millerntorplatz/St.Pauli,-27.302924938119386,0.0,-3.4305718333664075,True
Mittelweg/Sophienterrasse-NDR,-25.09258300791258,0.0,-3.4305718333664075,True
Moorstraße/Bahnhof Harburg,-26.351015402720687,0.0,-3.430571825841386,True
Mundsburg / Schürbeker Straße,-27.196249686269297,0.0,-3.4305718333664075,True
Mönckebergstraße / Rosenstraße,-25.95824163418678,0.0,-3.430571825841386,True
Mönckebergstraße / Steintorwall,-29.423164896741255,0.0,-3.430571825841386,True
Neuer Pferdemarkt / Beim Grünen Jäger,-28.401283874899825,0.0,-3.4305718333664075,True
Neuländer Kamp/Eurofins ,-27.625801524140797,0.0,-3.4305718333664075,True
Neumühlen/Övelgönne,-24.91072493927295,0.0,-3.4305718333664075,True
Neunenfelder Straße/ Kurt-Emmerich-Platz,-27.2718894428917,0.0,-3.430571810792874,True
Niendorf Markt/Tibarg,-23.127696717378814,0.0,-3.430571825841386,True
Nordalbinger Weg/Paul-Sorge-Straße,-19.80074082593229,0.0,-3.4305718333664075,True
Nordschleswiger Straße/Dulsberg-Nord,-23.654845220057354,0.0,-3.430571825841386,True
OTTO Group / Wandsbeker Straße,-28.44189168866391,0.0,-3.430571825841386,True
Ohnhorststraße/Klein Flottbek,-23.54348044738325,0.0,-3.430571825841386,True
Osakaallee/Übersee Quartier,-26.854971373892546,0.0,-3.4305718333664075,True
Osdorfer Landstraße/ Elbe-Einkaufszentrum,-26.05920312982845,0.0,-3.430571825841386,True
Osterbrookplatz/ Süderstraße,-17.846276094536623,3.0920569640787882e-30,-3.430571825841386,True
Osterstraße/Bismarckstraße,-27.07014356800104,0.0,-3.4305718333664075,True
Osterstraße/Heußweg,-28.379537396317264,0.0,-3.4305718333664075,True
Ottenser Marktplatz/Museumsstraße,-23.375349704517767,0.0,-3.430571825841386,True
Paul-Ehrlich-Straße/Asklepios Klinik Altona,-26.95366951351913,0.0,-3.430571825841386,True
Paulinenplatz/Wohlwillstraße,-29.40594326859764,0.0,-3.4305718333664075,True
Planetarium/Hindenburgstraße,-29.85885302450846,0.0,-3.430571810792874,True
Rahlstedter Weg/Berner Heerweg,-23.219575967323618,0.0,-3.430571825841386,True
Randstraße/ Stellingen,-43.03536301759198,0.0,-3.4305716378816276,True
Reeperbahn / Königstraße,-29.269282054172688,0.0,-3.4305718333664075,True
Reeseberg/EBV-Anzengruberstraße,-29.300724146898112,0.0,-3.430571810792874,True
Riedweg/Vierbergen,-23.19723981895128,0.0,-3.4305718333664075,True
Rothenburgsort/Marktplatz/Lindleystraße,-22.01750913449688,0.0,-3.4305718333664075,True
